DNA sample ethnicity and id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,DNA sample ethnicity,sample id
ARG_Aconcagua_500BP:Aconcagua,0.052359,-0.316845,0.122564,0.100453,-0.116022,-0.011435,-0.308334,-0.375446,-0.016771,-0.013121,-0.001461,-0.00045,0.001338,0.025323,-0.007872,0.00716,0.000782,-0.002027,0.005154,-0.000375,-0.004742,0.010016,0.002342,0.002892,-0.001676,ARG_Aconcagua_500BP,Aconcagua
ARG_ArroyoSeco2_7700BP:I0308,0.052359,-0.31583,0.118416,0.092701,-0.112944,-0.022869,-0.282953,-0.338755,-0.015953,-0.024966,0.00341,0.002398,0.001635,0.022983,-0.017779,0.001458,0.008605,0.002787,0.014958,0.001,-0.001373,0.012736,-0.003081,-0.005181,0.000958,ARG_ArroyoSeco2_7700BP,I0308
ARG_ArroyoSeco2_7700BP:I0309,0.054635,-0.30669,0.12445,0.091086,-0.111405,-0.027331,-0.286948,-0.345216,-0.004704,-0.012028,0.00682,0.003597,0.005203,0.023809,-0.006379,0.006232,0.002347,0.001394,0.004902,0.006253,0.000624,0.001607,-0.001602,-0.001325,0.002754,ARG_ArroyoSeco2_7700BP,I0309
ARG_ArroyoSeco2_7700BP:I2230,0.059188,-0.313799,0.115022,0.099807,-0.11079,-0.023148,-0.281073,-0.343601,-0.00859,-0.016766,0.006008,0.002098,-0.005798,0.020231,-0.005157,0.004243,0.010952,-0.004941,0.005028,0.005253,-0.002246,0.008656,-0.00912,-0.005061,-0.006107,ARG_ArroyoSeco2_7700BP,I2230
ARG_ArroyoSeco2_7700BP:I7090,0.054635,-0.307705,0.11917,0.085595,-0.109559,-0.009203,-0.289063,-0.333678,-0.012271,-0.00893,0.001786,-0.007493,0.002081,0.013625,-0.004886,0.013392,0.002347,-0.010008,0.002765,0.004127,-0.008485,0.010881,0.008258,-0.005784,0.001557,ARG_ArroyoSeco2_7700BP,I7090
ARG_Fuego_Patagonian:MA577,0.05122,-0.305674,0.117285,0.102068,-0.112021,-0.01506,-0.295408,-0.351678,-0.014521,-0.017677,0.004709,-0.001948,0.000743,0.024497,-0.0076,0.008353,0.007171,-0.00038,-0.009302,-0.004377,-0.003993,0.002226,-0.004437,0.000723,-0.001916,ARG_Fuego_Patagonian,MA577
ARG_Fuego_Patagonian:Yaghan890,0.044391,-0.316845,0.109742,0.096254,-0.113252,-0.023985,-0.270262,-0.332755,-0.013703,-0.016401,0.004872,0.011989,0.002825,0.024222,-0.00095,0.009812,0.008084,0.004561,-0.008799,0.002876,-0.001996,0.007048,-0.005793,-0.006627,0.005748,ARG_Fuego_Patagonian,Yaghan890
ARG_Fuego_Patagonian:Yaghan894,0.047806,-0.319892,0.118039,0.085918,-0.1231,-0.021196,-0.286478,-0.344293,-0.015339,-0.017495,0.000325,-0.000749,-0.000149,0.022157,-0.01045,0.003315,0.007823,0.00228,0.000377,0.004502,0.004866,0.001607,-0.00986,-0.003133,-0.008981,ARG_Fuego_Patagonian,Yaghan894
ARG_Fuego_Patagonian:Yaghan895,0.053497,-0.321923,0.12709,0.093993,-0.118484,-0.020917,-0.293293,-0.349139,-0.013294,-0.017495,-0.002273,-0.004346,0.003568,0.019955,-0.006515,0.010342,0.010822,-0.001267,-0.004274,-0.003126,0.000998,0.002968,0.001602,-0.000723,-0.001796,ARG_Fuego_Patagonian,Yaghan895
ARG_Haush_400BP:I12356,0.053497,-0.31583,0.120301,0.099161,-0.117253,-0.021753,-0.294233,-0.352139,-0.009613,-0.012028,-0.003248,-0.006444,0.009812,0.019405,-0.001764,0.00716,0.004824,-0.003674,0.005656,-0.001251,-0.002371,-0.000742,0.003328,-0.005663,-0.003832,ARG_Haush_400BP,I12356
