Sample ID/Group/Community,Master ID,Skeletal code,Skeletal element,Data type,14C date(s) that are newly published in this study,Published Study,Associated authors if this is a newly reported sample,Average Confidence Interval Date,Dating,Broad chronological / archaeological period,Analysis Label (grouping individuals of similar ancestry across diverse regions),Split Label  (grouping individuals of similar ancestry by site),Passed all analysis filters,Location,Country,Broad Geographic Region (Genetic clustering may sometimes differ),Latitude,Longitude,Gender,mtDNA haplogroup,Y chromosome haplogroup,Y chromosome determination strategy,"Whole genome average coverage across 1,150,639 targeted autosomal SNPs","Whole genome SNPs (number of 1,150,639 targeted autosomal SNPs covered by at least once sequence)",X-contamination point estimate from ANGSD on non-damage-restricted data if male and ≥200 SNPs,X-contamination Z-score from ANGSD on non-damage-restricted data if male and ≥200 SNPs,Library ID(s),UDG treatment by library (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),damage by library in sequences aligning to nuclear targets,mtDNA match rate to consensus by library (for all sequences and thus without damage restriction),"Assessment of data quality (notes in parentheses included if match rate to the mtDNA consensus sequence is <0.95 or X chromosome contamination estimate in males is significantly non-zero, or ratio of sequences matching Y and X chromosome is unexpected for a male or female)"
Ancestor.REF,Ancestor,Ancestor,n/a,Reference genome,no 14C date,ReferenceGenome,n/a (genome reference sequence),..,..,NA,Ancestor.REF,Ancestor.REF,Yes,..,..,NA,..,..,M,..,A,automatic,..,1135001,n/a,n/a,..,n/a,..,..,PASS
Denisova_published.DG,Denisova,Denisova,bone (phalanx),Shotgun data with diploid genotype calls,no 14C date,MeyerScience2012,n/a (previously reported),51950,50000 BCE,NA,Denisovan_published.DG,Denisovan_published.DG,Yes,"Denisova Cave, Altai",Russia,NA,51.3975,84.67611111,F,..,n/a (female),n/a (female),31,1149356,n/a (female),n/a (female),..,half,..,..,PASS
Ust_Ishim_published.DG,Ust_Ishim,UstIshim,bone (long bone),Shotgun data with diploid genotype calls,previously published 14C date,FuNature2014,n/a (previously reported),45020,"45530-40610 calBCE [46064-40920 calBCE (41400±1300 BP, OxA-25516), 46364-40844 calBCE (41400±1400 BP, OxA-30190)]",UP,Ust_Ishim_HG_published.DG,Ust_Ishim_HG_published.DG,Yes,"Ust'-Ishim, Siberia",Russia,Forest / Steppe,57.7,71.1,M,R*,K(xLT),manual,42,1147829,..,..,..,half,..,..,PASS
Tianyuan,Tianyuan,Tianyuan,bone,separate nuclear and mtDNA target enrichment,previously published 14C date,YangCurrentBiology2017,n/a (previously reported),39475,"38170-36880 calBCE (34430±510 BP, BA-03222)",UP,Tianyuan,Tianyuan,Yes,Tianyuan,China,East Asia,39.39,115.52,M,..,K2b,automatic,4.754,901237,..,..,..,..,..,..,PASS
Kostenki14,Kostenki14,Kostenki14,bone (long bone),separate nuclear and mtDNA target enrichment,previously published 14C date,FuNature2016,n/a (previously reported),37470,"36730-34310 calBCE (33250±500 BP, OxA-X-2395-15)",UP,Kostenki14,Kostenki14,Yes,Kostenki,Russia,Forest / Steppe,51.23,39.3,M,..,C1b,manual,16.136,1095867,..,..,"A5187,A5195,A5196,A5197,A5198,A5305",half,..,..,PASS
Vestonice16,Vestonice16,Vestonice16,bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,FuNature2016,n/a (previously reported),30010,"28760-27360 BCE [28634-27458 calBCE (GrN-15277: 25740±210 BP), 28586-27086 calBCE (25570±280, GrN-15276), layer date]",UP,Vestonice16,Vestonice16,Yes,Dolni Vestonice,Czech Republic,Europe,48.53,16.39,M,U5,C1a2,manual,0.999,745560,..,..,A5306,half,..,..,PASS
MA1.SG,MA1,Malta1,bone (long bone),Shotgun data with a random sequence representing each nucleotide,previously published 14C date,RaghavanNature2013,n/a (previously reported),24305,"22570-22140 calBCE (20240±60 BP, UCIAMS-79666)",UP,ANE,MA1_HG.SG,Yes,Mal'ta,Russia,Forest / Steppe,52.9,103.5,M,..,R,manual,1.206,820035,..,..,..,minus,..,..,PASS
AfontovaGora3_d,AfontovaGora3,AfontovaGora3,tooth,separate nuclear and mtDNA target enrichment,previously published 14C date,FuNature2016,n/a (previously reported),17930,"16480-15480 calBCE (14710±60 BP, MAMS-27186)",UP,ANE,AfontovaGora3,No,Afontova Gora,Russia,Forest / Steppe,56.016,92.866,F,R1b,n/a (female),n/a (female),0.17,265687,n/a (female),n/a (female),L5121,minus,..,..,PASS
Villabruna,Villabruna,Villabruna,bone (long bone),separate nuclear and mtDNA target enrichment,previously published 14C date,FuNature2016,n/a (previously reported),13980,"12230-11830 calBCE (12140±70 BP, KIA-27004)",UP,Villabruna,Villabruna,Yes,Villabruna,Italy,Europe,46.15,12.21,M,U5b2b,R1b1a,manual,3.137,902419,..,..,A5290,minus,..,..,PASS
I1687_published,I1687,NAT13,petrous,separate nuclear and mtDNA target enrichment,previously published 14C date,LazaridisNature2016,n/a (previously reported),13265,"11520-11110 calBCE (11405±120 BP, RTK-6607)",M / N,Raqefet_M_Natufian,Raqefet_M_Natufian,Yes,Raqefet Cave,Israel,West Asia,32.65,35.067,F,..,n/a (female),n/a (female),0.022889,26439,n/a (female),n/a (female),"S1687.E1.L1,S1687.E1.L2,S1687.E1.L3","half,half,half","0.148,0.148,0.179","..,..,..",PASS
